folioviv,foliohog,numren,ambito,sinco,factor_w,tam_hogar,dependientes,ingreso_pc_mensual,linea_pobreza,linea_pobreza_extrema,_bajo_lp,_bajo_lpei
0501454704,1,01,urbano,8144,245,4,3,26249.9875,4660.52,2366.33,0.0,0.0
0501470814,1,01,urbano,2271,242,7,6,22104.037142857145,4660.52,2366.33,0.0,0.0
0501474404,1,01,urbano,2271,551,3,2,45007.880000000005,4660.52,2366.33,0.0,0.0
0501475006,1,01,urbano,7322,384,3,2,41739.12,4660.52,2366.33,0.0,0.0
0501484305,1,01,urbano,2173,242,3,2,39083.82666666667,4660.52,2366.33,0.0,0.0
0501485906,1,01,urbano,2551,475,3,2,48650.16,4660.52,2366.33,0.0,0.0
0501485906,1,01,urbano,2544,475,3,2,48650.16,4660.52,2366.33,0.0,0.0
0501488301,1,01,urbano,2271,286,3,2,28256.476666666666,4660.52,2366.33,0.0,0.0
0501511706,1,01,urbano,2172,232,5,4,13717.818,4660.52,2366.33,0.0,0.0
0501515001,1,01,urbano,7401,267,4,3,30635.4525,4660.52,2366.33,0.0,0.0
0501522203,1,01,urbano,2712,328,4,3,22118.7075,4660.52,2366.33,0.0,0.0
0501590201,1,01,urbano,2544,291,6,5,7423.748333333333,4660.52,2366.33,0.0,0.0
0501591502,1,01,urbano,2625,278,4,3,17089.78,4660.52,2366.33,0.0,0.0
0501598004,1,01,urbano,2172,287,2,1,26350.995,4660.52,2366.33,0.0,0.0
0501608302,1,01,urbano,2144,368,5,4,30849.926,4660.52,2366.33,0.0,0.0
0501608305,1,01,urbano,2271,368,4,3,47220.8,4660.52,2366.33,0.0,0.0
0501610506,1,01,urbano,2271,424,3,2,31964.403333333335,4660.52,2366.33,0.0,0.0
0501617702,1,01,urbano,5212,378,5,4,23636.054,4660.52,2366.33,0.0,0.0
0501658303,1,01,urbano,2172,302,4,3,18274.08,4660.52,2366.33,0.0,0.0
0501665901,1,01,urbano,2271,349,3,2,102515.80666666666,4660.52,2366.33,0.0,0.0
0501666803,1,01,urbano,2625,278,4,3,15302.74,4660.52,2366.33,0.0,0.0
0501673605,1,01,urbano,2144,437,2,1,65483.6,4660.52,2366.33,0.0,0.0
0501681903,1,01,urbano,2172,287,1,0,46149.45,4660.52,2366.33,0.0,0.0
0501690304,1,01,urbano,2173,255,4,3,21465.7225,4660.52,2366.33,0.0,0.0
0501722405,1,01,urbano,2712,270,1,0,66766.29,4660.52,2366.33,0.0,0.0
0501734005,1,01,urbano,2542,293,4,3,31105.0775,4660.52,2366.33,0.0,0.0
0501748805,1,01,urbano,2271,315,2,1,44459.005,4660.52,2366.33,0.0,0.0
0501751302,1,01,urbano,2271,288,3,2,104625.38333333335,4660.52,2366.33,0.0,0.0
0501766801,1,01,urbano,2544,311,3,2,23395.766666666666,4660.52,2366.33,0.0,0.0
0501768805,1,01,urbano,1421,293,5,4,19083.93,4660.52,2366.33,0.0,0.0
0501772704,1,01,urbano,7353,299,2,1,23232.88,4660.52,2366.33,0.0,0.0
0501777401,1,01,urbano,5212,402,2,1,21644.01,4660.52,2366.33,0.0,0.0
0501779604,1,01,urbano,7321,396,4,3,32526.6325,4660.52,2366.33,0.0,0.0
0501785202,1,01,urbano,7321,290,3,2,6493.006666666667,4660.52,2366.33,0.0,0.0
0501804704,1,01,urbano,2625,392,4,3,87445.07,4660.52,2366.33,0.0,0.0
0501806606,1,01,urbano,2271,272,2,1,118032.78,4660.52,2366.33,0.0,0.0
0501809805,1,01,urbano,2271,320,1,0,120491.79,4660.52,2366.33,0.0,0.0
0501838003,1,01,urbano,4312,382,4,3,23079.855,4660.52,2366.33,0.0,0.0
0501841305,1,01,urbano,2271,372,5,4,32255.78,4660.52,2366.33,0.0,0.0
0501843701,1,01,urbano,1421,332,2,1,61106.555,4660.52,2366.33,0.0,0.0
0501846508,1,01,urbano,9713,248,5,4,22759.552,4660.52,2366.33,0.0,0.0
0501847204,1,01,urbano,2172,249,2,1,15042.975,4660.52,2366.33,0.0,0.0
0501850824,1,01,urbano,7342,253,2,1,19654.905,4660.52,2366.33,0.0,0.0
0501863303,1,01,urbano,2271,391,2,1,31671.185,4660.52,2366.33,0.0,0.0
0501872906,1,01,urbano,8144,301,3,2,12876.753333333334,4660.52,2366.33,0.0,0.0
0501881002,1,01,urbano,7201,236,5,4,14489.188,4660.52,2366.33,0.0,0.0
