folioviv,foliohog,numren,ambito,sinco,factor_w,_insegalim_modsev_proxy,_insegalim_severa_proxy
1103991206,1,01,urbano,2271,889,0,0
1103995503,1,01,urbano,7611,569,1,1
1103996201,1,01,urbano,2163,860,0,0
1104009402,2,01,urbano,7332,917,0,0
1104009404,1,01,urbano,2152,917,0,0
1104028805,1,01,urbano,2162,676,0,0
1104029006,1,01,urbano,1422,562,0,0
1104035505,1,01,urbano,7353,1011,0,0
1104037603,1,01,urbano,7611,915,0,0
1104041802,1,01,urbano,7353,906,1,0
1104042202,1,01,urbano,7353,887,0,0
1104045602,1,01,urbano,7301,924,1,1
1104045604,1,01,urbano,2712,924,0,0
1104049303,1,01,urbano,7353,901,1,0
1104049306,1,01,urbano,7353,901,0,0
1104051302,1,01,urbano,5212,819,0,0
1104051304,1,01,urbano,2625,819,0,0
1104057703,1,01,urbano,7353,823,0,0
1104058904,2,01,urbano,7353,861,0,0
1104058905,1,01,urbano,8144,861,0,0
1104060205,2,01,urbano,7353,847,1,1
1104062601,1,01,urbano,7322,882,1,0
1104062602,1,01,urbano,7353,882,0,0
1104065901,1,01,urbano,2543,816,1,1
1104065904,1,01,urbano,2271,816,1,0
1104068003,1,01,urbano,7353,925,0,0
1104071406,1,01,urbano,2271,884,0,0
